Gene.symbol logFC
RPL15 -5.30e-01
AKR1C3 -8.07e-01
NDUFA11 -5.14e-01
ENPP2 4.25e-01
MAP7 -8.03e-01
DDX3X -4.31e-01
NUDT4P1///NUDT4 -4.74e-01
LPAR5 1.27
ZNRF1 7.44e-01
DPM3 -6.07e-01
PRICKLE1 -4.61e-01
FBXL6 5.84e-01
ABCB5 1.88
CDK12 -5.97e-01
SLC38A10 1.40
MAGEC1 -5.48e-01
GSPT1 -7.77e-01
TMEM165 4.83e-01
SNX5 7.28e-01
SMC5 7.26e-01
GPBP1 -3.97e-01
DHRS12 -5.64e-01
TREM1 1.15
LRRC56 1.25
ACIN1 4.57e-01
LOC102723721 7.60e-01
LINC00598 2.38
MAPT -1.54
SNX1 -5.24e-01
NPEPPS -5.84e-01
HCG8///ZNRD1ASP 7.01e-01
PCMTD2 6.10e-01
IFI44 -5.04e-01
ARSB 6.40e-01
RHOU -1.13
EMC7 4.27e-01
ANKHD1-EIF4EBP3///ANKHD1 -4.57e-01
ADAMTS9 1.51
CTTN 7.43e-01
USP35 4.09e-01
TRAF3 5.74e-01
ZAK -5.23e-01
PLXNC1 5.02e-01
SLX1B-SULT1A4///SLX1A-SULT1A3///SLX1A///SULT1A4///SLX1B///SULT1A3 5.60e-01
ZNF566 -5.18e-01
CAMTA1 -4.51e-01
COPS8 -4.72e-01
NR2F1-AS1 -9.02e-01
VAPA 5.79e-01
CD276 6.51e-01
EIF5 5.24e-01
RAB28 -4.89e-01
NAV2 -1.64
HNRNPU -4.42e-01
SH3GL2 -7.86e-01
KCNC3 1.13
FANCG 4.46e-01
RAP2A 4.16e-01
NHLRC3 5.64e-01
RBM6 7.31e-01
MPV17 -5.60e-01
CNPY1 5.38e-01
TRIM78P 2.15
KRTCAP2 5.29e-01
TOB1 -6.82e-01
SUSD1 7.54e-01
CXorf38 -7.48e-01
KIAA1958 -7.94e-01
PAQR7 5.86e-01
ZCCHC7 4.95e-01
RPS6KA2 -6.37e-01
DDI2///RSC1A1 -4.52e-01
H3F3AP4///H3F3B///H3F3A -4.84e-01
GNRHR2 1.60
RAPH1 1.11
AQP1 5.30e-01
NLRP1 4.76e-01
RTN4 5.11e-01
ABHD2 6.32e-01
RNF130 6.55e-01
PGK1 -4.31e-01
TGFA -4.99e-01
PPP3CC 6.20e-01
NMRK1 -4.78e-01
PROCR 5.40e-01
XRCC5 6.46e-01
ARHGAP20 -1.69
SRGAP1 6.54e-01
TFPT -6.03e-01
DUSP7 4.18e-01
IL6 7.30e-01
ACADSB -7.08e-01
DIRAS2 -1.30
FTCD -8.26e-01
PAQR9 1.85
NUCKS1 -4.59e-01
PIN4 -4.38e-01
TRIOBP 6.27e-01
ARID1A 4.10e-01
LOC643201 2.39
TRAPPC10 4.72e-01
FOXP2 -7.07e-01
CIZ1 5.83e-01
PPARA -6.63e-01
PIK3C2B -6.16e-01
EXOC7 7.03e-01
TIMP2 6.31e-01
BIRC7 1.10
SLC2A3 5.70e-01
SEC23IP -4.67e-01
UBE2V2 -7.82e-01
IGDCC4 4.49e-01
PEX19 -5.40e-01
KCNJ16 -2.39
SLC2A4RG 4.98e-01
CSNK1G1 1.65
RABGAP1L -5.41e-01
TGFBR3 7.10e-01
MIRLET7BHG 6.51e-01
CYTH1 5.52e-01
CD47 4.81e-01
FBXL21 6.66e-01
RPS6KA4 6.48e-01
PRKCB -7.46e-01
ST6GALNAC5 6.77e-01
NUB1 4.78e-01
ERAP1 5.01e-01
ZNF496 5.52e-01
LOC145678 -1.86
PSMC6 -4.82e-01
MIR8072///LOC100293704 1.66
DNAJC9 -6.15e-01
SARS -4.18e-01
CSDE1 -5.47e-01
KLHL22 -5.02e-01
PSMG2 -3.97e-01
MAP3K7CL 7.73e-01
RPL29 -4.64e-01
EIF4EBP2 -6.41e-01
CPNE1 -4.33e-01
MGAT4B 4.09e-01
PAG1 4.83e-01
STAT1 -4.45e-01
SH3GLB2 2.04
FXR1 -8.74e-01
ASB8 -3.80e-01
ACTR2 -4.95e-01
MTDH -5.88e-01
LILRB3 8.85e-01
SMCR8 -8.93e-01
TRA2A 4.27e-01
GEN1 8.70e-01
LAMP1 4.98e-01
ADAM10 4.52e-01
SPAST -5.62e-01
MRFAP1 -4.49e-01
ZC3H14 -4.95e-01
SCAMP4 6.12e-01
DCAF1 8.00e-01
XRCC6 -4.90e-01
MACF1 4.99e-01
COL4A3BP -5.28e-01
XYLB 1.51
SUPT7L -5.46e-01
ASAP1 7.63e-01
PIGL 4.58e-01
TMEM121 7.79e-01
CYP1B1 1.02
MPZL3 9.57e-01
RRN3P1///RRN3P2///RRN3 -6.51e-01
FAM200A -4.06e-01
TRMT112 -4.40e-01
ALDH6A1 -6.80e-01
DENND5B -4.41e-01
TM7SF2 -6.78e-01
MRPL39 8.23e-01
LOC101930388///LOC101928143///NUMB 5.45e-01
ZNF385B -1.43
FOXC2 6.47e-01
PLEKHG1 -6.12e-01
PDIA4 -4.53e-01
CD79B 1.01
MED14 -9.55e-01
CNTNAP2 -7.89e-01
BANP -4.18e-01
PSMD6 1.12
URM1 -5.49e-01
NOL11 -3.97e-01
HMGCL -4.25e-01
ARHGAP5 -5.27e-01
PAPOLA -4.96e-01
MTMR9LP -1.54
CHRDL1 7.73e-01
CLPX -4.97e-01
TMEM43 5.24e-01
SMOX 6.88e-01
NSDHL 4.50e-01
RELB 4.34e-01
SOX21-AS1 5.24e-01
CALU 5.25e-01
MED31 4.97e-01
USP39 -4.81e-01
PADI2 -1.37
TNFRSF10A 5.87e-01
HMCES -6.20e-01
RRAGA -5.94e-01
ACLY 5.14e-01
TMEM44 9.54e-01
ATP5SL -3.90e-01
TDG -3.97e-01
FXYD1 1.47
DPYSL2 -4.49e-01
PHAX -4.71e-01
BDH2 -9.86e-01
LOC101930075///PKD1 9.76e-01
ATP6V1E2 -5.29e-01
CCDC13 4.45e-01
VNN1 1.61
SKAP2 -4.94e-01
FXYD6 -7.73e-01
TRIM59///IFT80 4.93e-01
BCL9L 5.83e-01
PQLC3 6.05e-01
MIR7113///MIR4691///NDUFS8 -4.21e-01
APTX -4.30e-01
NRP2 1.25
PLCG2 2.85
CCZ1B 4.14e-01
GFRA1 2.56
SLC16A7 7.10e-01
APTX -5.17e-01
TPM2 2.07
TRUB1 -5.23e-01
SH2B3 5.48e-01
ALG12 7.25e-01
RBM26 1.28
RNF215 1.33
OTUD3 7.25e-01
KLHL7 -4.26e-01
SLC7A11 1.55
DAZAP1 4.03e-01
TMED5 4.08e-01
ST6GALNAC4 5.84e-01
AKT3 4.61e-01
ATP5I -5.51e-01
CALD1 6.04e-01
DLST -5.13e-01
FAM129B 1.11
ESD -4.20e-01
RTP1 6.57e-01
SNORD23///GLTSCR2 -4.79e-01
LOC151760 5.74e-01
CNTNAP1 6.50e-01
SYNJ2 4.82e-01
DLAT -5.30e-01
PHACTR2 -5.76e-01
FAT3 7.97e-01
CBWD7///CBWD6///CBWD3///CBWD5///CBWD2///CBWD1 -4.22e-01
PRDX2 -1.21
MECOM -5.67e-01
SRSF7 4.51e-01
ATP6V0A2 8.48e-01
PSMD8 -4.52e-01
PMVK -5.38e-01
BMP1 4.32e-01
FAM20C 6.93e-01
SYN1 -9.80e-01
KIAA1161 5.53e-01
ZNF709 1.00
SPATA6L 1.20
COTL1 1.09
SRP54 -4.47e-01
SV2B 1.24
ULBP3 7.36e-01
LRFN3 6.31e-01
APH1A 6.29e-01
STK39 -4.54e-01
PKP1 1.79
SNX7 -4.40e-01
FUT11 5.24e-01
TAPT1-AS1 6.66e-01
MTG2 1.50
HOXB7 -4.73e-01
NOP2 4.51e-01
PLA2G6 4.28e-01
TMEM147 4.27e-01
TMCC1 6.51e-01
MON1A 5.47e-01
PNISR 5.99e-01
LIFR -6.59e-01
HACD3 4.01e-01
PYURF///PIGY -3.97e-01
GID8 -4.80e-01
SCAND1 -5.85e-01
SNX3 -4.27e-01
CTNNBIP1 -1.38
FNDC3A -7.32e-01
LOC102723709///LOC102723678 5.12e-01
TIGD4 5.08e-01
G3BP1 -7.00e-01
DCP2 -4.66e-01
TAPBPL 5.62e-01
HLA-DPA1 5.20e-01
FAM210B -1.06
SLC52A2 6.44e-01
GCNT1 3.85e-01
XK 1.02
KRI1 4.10e-01
FKBP15 -1.51
C11orf24 6.54e-01
DGKH 8.16e-01
PANK3 -6.70e-01
DOCK5 1.10
U2AF1 4.76e-01
SLC17A9 7.30e-01
U2AF2 -5.58e-01
ELK4 -6.23e-01
EGFR 5.29e-01
COX5B -4.38e-01
DRP2 1.87
VDR 1.22
RAB1B -5.71e-01
YTHDF1 -4.21e-01
FBXO4 1.04
PIGU 4.11e-01
GALK2 -4.39e-01
CLTA -4.22e-01
AP1S2 -4.08e-01
FRMD4A 6.89e-01
ABHD6 5.79e-01
RIMKLA -1.39
SEPT8 4.58e-01
SUPT20H///DES 1.93
GMDS -8.30e-01
ANKH 6.68e-01
SOX6 -1.93
RRBP1 9.22e-01
CARNMT1 -7.58e-01
CSDE1 -4.48e-01
MEG3 8.16e-01
NAA50 -8.54e-01
LRRFIP1 -6.64e-01
TC2N -7.17e-01
PTOV1-AS2 7.96e-01
ATP5C1 5.22e-01
EIF2A -4.18e-01
LOC101929529 -1.11
CD7 1.11
ZNF771 1.11
INSR 1.03
RPP25L -3.93e-01
FOXP1 8.31e-01
TIAL1 4.08e-01
CAMSAP2 -4.03e-01
MIATNB -1.74
KRT10 -5.09e-01
POLM 4.86e-01
NDUFC2-KCTD14///NDUFC2 -6.68e-01
ATP6AP1 4.31e-01
LINC00839 8.07e-01
TXNIP -7.42e-01
FTH1 -5.78e-01
CD59 4.57e-01
STAM2 -8.09e-01
IFIT2 -7.42e-01
ACVR1B 4.88e-01
CLPTM1L 4.58e-01
LOC101928605///OR2A1-AS1///OR2A9P///OR2A20P 1.04
RECQL5 9.98e-01
TIGD1 4.77e-01
DLEU2 1.20
SAMHD1 -7.45e-01
LOC105379045 5.52e-01
SRGAP1 5.38e-01
FSIP1 -8.50e-01
IL18BP 6.04e-01
VTI1B -4.32e-01
PTPN18 4.67e-01
C6orf52 -6.86e-01
RPS6 -4.32e-01
YIF1B 5.03e-01
AKR1B1 -4.21e-01
LOC100653149///LINC01296 4.32e-01
SNORA41///EEF1B2 -5.39e-01
NASP -7.57e-01
SEPW1 -4.35e-01
PYROXD2 1.09
ENPP1 6.47e-01
PTP4A1 -5.97e-01
ATF7 -5.59e-01
LAMTOR4 -5.11e-01
DBT -4.72e-01
FBXL21 6.73e-01
GFM1 4.55e-01
LRPPRC -5.77e-01
FST 6.39e-01
PPP4R3B -6.47e-01
SLC31A1 5.21e-01
CD1B -1.64
PDIA2 1.64
FOXD2-AS1 1.48
GNG11 -4.46e-01
COL7A1 1.10
PLXND1 4.95e-01
YAP1 -4.37e-01
DCTD -5.08e-01
NRG1 1.02
AKAP13 5.78e-01
KLF3 -4.24e-01
LOC101929796///LOC100996763///LOC100996717///NOTCH2NL///NOTCH2 5.13e-01
PXDC1 5.69e-01
SSC5D 1.04
SCGB3A1 2.00
CHCHD7 -7.16e-01
NABP1 6.18e-01
TM9SF2 3.76e-01
ABHD4 -4.87e-01
PSIP1 -4.60e-01
XAGE1B///XAGE1E 7.25e-01
HIC2 4.78e-01
LY6G5B///CSNK2B 9.05e-01
TRIM10 2.50
CLNS1A -3.95e-01
EMC1 5.14e-01
MATN3 1.28
LAMTOR5 -4.37e-01
LOC105379426 5.51e-01
DND1 6.34e-01
CEP57 -4.81e-01
PPAN-P2RY11///P2RY11 5.08e-01
LIN7C -4.93e-01
SLC19A1 9.07e-01
LINC00963 -1.29
LOC401021///HOXD4///HOXD3 7.68e-01
SLC6A15 4.30e-01
ADGRG6 6.55e-01
RPL34 -5.10e-01
AGPAT3 6.87e-01
VASN 6.95e-01
LOC100996246 1.61
SYTL3 1.10
PMCH -5.93e-01
TOMM70 -3.85e-01
SYNJ2BP-COX16///SYNJ2BP -5.07e-01
NRP1 1.31
YTHDF3-AS1 6.35e-01
PSMB8 -3.97e-01
DCP2 -4.06e-01
NUDT11 -4.58e-01
DIO2 -7.63e-01
TGFB2 1.06
LIN7C -5.15e-01
PPRC1 7.56e-01
GAP43 6.32e-01
MIR3652///HSP90B1 4.53e-01
MTUS1 -5.59e-01
THBS1 6.65e-01
LPAR2 -2.28
ANTXR1 -2.61
METTL10 1.45
PDS5A -6.69e-01
C12orf40 1.83
CDK14 5.94e-01
ACAP3 6.21e-01
ZFAND6 -5.34e-01
MRPS28 -4.48e-01
GATA3 -1.01
HOXB7 -4.47e-01
CUL4A -5.47e-01
MRPL42 -8.00e-01
ZNF644 -5.14e-01
WWOX -4.72e-01
TLE3 4.25e-01
C15orf52 7.67e-01
SESN3 -1.38
UFM1 8.47e-01
EIF3E -4.84e-01
OTUD7B 5.14e-01
LOC102723899///CLDN12 8.87e-01
LAMTOR5 -4.04e-01
TSN -4.44e-01
PADI4 2.99
BMP2K 1.16
AQP8 -1.72
PTGES2 -5.33e-01
TCF7L2 -3.76e-01
F5 1.92
RCAN1 -5.73e-01
NT5C2 -4.31e-01
NDRG2 -9.53e-01
ZNF805 6.77e-01
NDFIP2 -4.46e-01
ZBTB21 -4.88e-01
CLN6 7.26e-01
XPNPEP3 -5.49e-01
PSPC1 4.58e-01
CERCAM 4.08e-01
SEC61A1 5.17e-01
EIF5A -4.07e-01
LARP1B -7.30e-01
ZNF718///ZNF595///ZNF208 -3.83e-01
ATP9B 7.83e-01
EIF2S3 -4.62e-01
DCUN1D1 -9.25e-01
ANO2 5.28e-01
SYNJ2BP-COX16///SYNJ2BP -4.02e-01
TCEA1 4.72e-01
ATL3 6.66e-01
H1F0 -5.20e-01
MLLT6 7.41e-01
LOC283788 -6.07e-01
ISG20 -6.05e-01
SARNP -5.19e-01
LDAH -4.24e-01
MYZAP///GCOM1///POLR2M -5.30e-01
HACD3 4.98e-01
CCDC13 8.89e-01
KIAA1644 5.01e-01
DLGAP1-AS2 1.08
TCF7L2 7.81e-01
MIR497HG///MIR497///MIR195///LOC284112 7.36e-01
NASP 5.23e-01
TMEM67 5.34e-01
KIF1A 5.19e-01
FOXP2 -6.76e-01
DCAF5 4.41e-01
IPO4 4.62e-01
DHRS7C 1.44
FLJ40288 1.44
RIF1 -4.94e-01
RPS16 -4.84e-01
IGF1R 6.16e-01
SAP30L 1.28
PCNT 4.40e-01
SIK1 6.24e-01
IAH1 -4.17e-01
NUBP1 -4.71e-01
G2E3 -4.42e-01
CCDC7 -1.47
ZNF740 -7.17e-01
ANKRD34A -2.20
DPY19L1 4.13e-01
AKAP1 5.45e-01
GNB1 -3.84e-01
CYP2C8 1.94
PLD2 6.31e-01
ZSCAN9 4.60e-01
GFPT1 -5.31e-01
DYNLL2 -7.42e-01
PSMD5 -4.06e-01
FZD5 2.43
MGLL 6.27e-01
TMEM18 4.88e-01
CDKN3 -4.67e-01
HS2ST1 -6.04e-01
KIRREL3 2.47
PRRC2C 6.26e-01
UQCRHL///UQCRH -4.60e-01
HLA-F 6.72e-01
USP47 -4.75e-01
RRNAD1 6.38e-01
SCARB2 4.11e-01
HSPA4 -8.23e-01
LOC100128108 4.88e-01
NRP2 7.08e-01
TGOLN2 4.22e-01
LOC105375839 8.18e-01
SHFM1 -7.42e-01
ZDHHC7 7.83e-01
LOC105373738 1.08
POT1 -4.18e-01
C12orf66 -9.64e-01
MIR3917///STMN1 3.77e-01
SPATA5L1 6.76e-01
LOC101927204 4.42e-01
RNASEH2C -4.07e-01
MAP6D1 6.01e-01
GOLM1 5.41e-01
ARMC8 -4.68e-01
MTMR11 4.78e-01
CUL9 5.21e-01
ERN1 5.45e-01
BUB3 -1.87
ZCCHC24 -4.43e-01
AURKC 9.54e-01
SCAF11 -5.90e-01
CNOT2 -4.91e-01
CHI3L1 6.63e-01
DRAP1 5.42e-01
SNAI2 -6.67e-01
MIR3656///TRAPPC4 -3.77e-01
THUMPD1 -4.68e-01
L1CAM 4.07e-01
MRPL32 -4.43e-01
ARFGAP1 4.17e-01
SPATA5L1 7.73e-01
STXBP1 -5.46e-01
HNRNPA1P10///HNRNPA1 -4.58e-01
AMMECR1 -5.16e-01
NUDT2 -5.20e-01
TMEM230 -4.63e-01
HOXA11-AS 8.12e-01
HEXIM1 -4.03e-01
MAPK1 -4.71e-01
NAV2 6.03e-01
OAZ1 -3.81e-01
SH3PXD2B 6.75e-01
CCNH -4.15e-01
HNRNPLL 6.20e-01
CDK1 -4.92e-01
FGF12 -5.86e-01
PAPD4 -5.77e-01
XRCC5 -4.24e-01
ATF3 4.80e-01
PIF1 5.79e-01
PAPOLG -6.99e-01
SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4 -4.31e-01
CCKAR -1.99
DTD2 -4.09e-01
PRUNE1 -4.94e-01
TAP2 9.59e-01
RBM25 4.46e-01
BRE -5.03e-01
CAPRIN1 -4.68e-01
HMGB1 -7.96e-01
LOC100506922 7.72e-01
RSL24D1 -4.59e-01
NPFF 5.61e-01
ZADH2 -5.49e-01
MUTYH 5.07e-01
ITSN2 -4.99e-01
LOC100133089 7.08e-01
TTC3P1///TTC3 -6.37e-01
ROBO4 1.42
TAF1 -8.83e-01
DTWD1 3.86e-01
RUSC2 8.61e-01
TSG101 -4.11e-01
FAM129B 6.80e-01
ANKRD10 -1.97
NT5C1B-RDH14///NT5C1B 1.97
ST18 1.97
WHSC1L1 -1.86
CES1P1 1.86
AURKAIP1 -4.42e-01
GRIK1-AS2///BACH1 -4.84e-01
MRPS26 3.88e-01
FIGN -6.63e-01
MS4A12 1.52
ICMT 4.42e-01
GCNT1 5.93e-01
BORCS5 -6.74e-01
RSPRY1 -7.44e-01
CD164 4.14e-01
EGR1 -4.63e-01
CLINT1 6.70e-01
SMIM7 -5.02e-01
SKI 1.01
COPS8 -4.42e-01
LRP6 6.42e-01
SNAP23 -4.60e-01
TMEM189-UBE2V1///TMEM189///UBE2V2///UBE2V1 -6.09e-01
EPHB4 5.18e-01
TMEM63A 7.23e-01
SUGP2 5.26e-01
RNASEH2B 7.78e-01
FLRT3 -4.62e-01
CYFIP1 -4.77e-01
PROSC -4.44e-01
NAB2 -6.74e-01
SDCBP2-AS1 -1.05
CLCC1 4.34e-01
KLF8 6.39e-01
DMBT1 8.84e-01
ANAPC16 -5.47e-01
CSNK1A1 4.48e-01
SSPN -6.39e-01
PEAR1 1.34
TBX2 1.16
LRBA -7.83e-01
SCARB2 4.05e-01
CLUHP3 6.17e-01
FUT4 1.33
JAGN1 3.97e-01
ITPRIPL2 5.15e-01
USP24 7.44e-01
PRPF40A 5.42e-01
WDFY1 -4.85e-01
DEK -4.16e-01
GGA1 -3.87e-01
GSKIP -5.18e-01
LOC81691 5.38e-01
TMED5 -3.89e-01
SOCS1 1.10
IL31RA 4.65e-01
SPG21 -5.64e-01
AFF4 -6.58e-01
PLCH2 2.33
TCEA2 2.69
NCOA7 -4.83e-01
CYP3A5 9.73e-01
MEIS3 -8.79e-01
SFRP2 -6.56e-01
FAT4 -7.57e-01
C15orf65 -5.84e-01
KIF13B 4.39e-01
CLIP1 4.09e-01
ARMCX1 -4.86e-01
TCF3 4.33e-01
SYF2 8.38e-01
UGGT2 4.35e-01
CSDE1 -4.66e-01
PPP4R1L 6.45e-01
FOXK2 4.26e-01
WWP2 -7.85e-01
RER1 4.11e-01
FOXP2 -1.19
DBIL5P 9.32e-01
TP53BP1 -2.81
PEX5L -1.89
TLCD1 8.67e-01
GNAS-AS1 9.01e-01
COQ7 -1.70
SIK3 1.11
DNAJC4 -5.10e-01
GFM1 -7.03e-01
CD274 7.28e-01
TCF4 -7.36e-01
ANXA6 -5.59e-01
SMTNL1 4.97e-01
APH1B 4.66e-01
DTNBP1 -4.19e-01
PBLD -9.65e-01
NT5E 1.64
GZMA -8.48e-01
PPP2R2D 1.27
RWDD2B -7.64e-01
YWHAB -5.38e-01
CEBPG 4.56e-01
RAB27A -8.25e-01
POLR3G 4.93e-01
MORN4 -4.83e-01
TERF2IP -3.87e-01
ADCY6 6.43e-01
RAB3IP -4.24e-01
RNF139-AS1 5.47e-01
SDC4 5.12e-01
MPC2 -4.16e-01
SNORA21///RPL23 -5.75e-01
TGM5 1.20
LYRM2 -3.86e-01
LOC441155///ZC3H11A -5.25e-01
NLN 1.64
POMT2 9.28e-01
IQCF1 -6.27e-01
ZNF334 8.33e-01
LTBR 9.08e-01
CALR 4.91e-01
TTLL4 7.91e-01
PARP11 -9.33e-01
MRPL16 -3.90e-01
ZNF746 4.53e-01
CINP -5.32e-01
CAPZA2 -3.84e-01
FKBP3 -3.77e-01
DERA -4.34e-01
CYB561 5.24e-01
EPSTI1 -6.70e-01
RPL31 -4.75e-01
LGALS8-AS1 4.39e-01
SSR1 3.86e-01
P4HA1 3.80e-01
PSMB7 9.21e-01
NDUFA2 -1.77
FAM189A1 1.36
ERLEC1 3.82e-01
NCALD -6.63e-01
SYNGAP1 8.48e-01
BAG1 -4.97e-01
PPM1A -9.62e-01
CDC42 -4.33e-01
BACE1 6.22e-01
FAM60A -4.69e-01
UBE2W -1.04
DOCK6 5.44e-01
PSMD4 -4.64e-01
PPP2R5C -4.69e-01
CHURC1-FNTB///FNTB -4.53e-01
SKP1 -4.40e-01
OTOP2 -1.54
LRP5L 6.35e-01
GAS7 -4.59e-01
C9orf16 -7.37e-01
TNFRSF25 8.33e-01
SNX21 -4.83e-01
SNHG4///MATR3 -6.53e-01
PRRC2C 4.71e-01
CCNI -4.46e-01
SRR -4.54e-01
ACOX1 -6.52e-01
TMEM150C -5.77e-01
CDC42BPA -6.62e-01
MTBP 8.76e-01
DMD -4.94e-01
GRB10 4.90e-01
KLHL29 9.21e-01
WDR91 3.71e-01
PTN -4.33e-01
HS6ST1 6.28e-01
LAPTM5 6.84e-01
USP33 -5.70e-01
ASXL2 4.37e-01
GABRB3 -6.37e-01
FBXO21 -4.62e-01
ARHGAP26 4.13e-01
GTF2H2B 3.89e-01
PRRC2A 5.85e-01
HSD17B1 -7.70e-01
NMD3 -4.79e-01
P4HTM 4.44e-01
HNRNPM 7.64e-01
GPR161 8.41e-01
TTLL4 4.43e-01
TNFAIP1 -3.86e-01
DPY19L2P3 2.11
RPS6KL1 1.13
MKLN1 -5.16e-01
PDCD7 -3.81e-01
CHPF2 4.05e-01
SYNJ2 2.27
OSMR 6.57e-01
PTOV1-AS1 5.26e-01
ID2B///ID2 -8.30e-01
TCAIM -4.76e-01
PQBP1 7.94e-01
PTRHD1 -4.18e-01
PML 5.76e-01
H3F3AP4///H3F3B///H3F3A -4.95e-01
VEZT -4.51e-01
FANCA 1.11
KIAA1191 -4.54e-01
ACBD6 -4.22e-01
GPD2 -4.96e-01
MARCH3 1.44
PCGF3 -3.70e-01
MIB1 -5.63e-01
NLRP1 5.55e-01
PCTP -5.40e-01
LINC00938 -4.15e-01
PLN 5.22e-01
B4GALT7 6.36e-01
DSE 3.93e-01
ATXN7 6.36e-01
AIRE 1.52
CD276 7.47e-01
PEG10 -4.40e-01
SMTN 6.01e-01
RRP36 -5.28e-01
RPL35A -5.17e-01
BAG5 -4.46e-01
B3GNT2 4.99e-01
CAPN10 1.46
LOC101928927///SNORA9///SNHG15 4.50e-01
ANKFY1 -5.20e-01
A1BG-AS1 5.52e-01
SP100 1.11
METTL7B 4.43e-01
SEZ6L2 8.73e-01
SDHAP2///LINC00969///SDHAP1 7.20e-01
IL5RA 1.77
FBXL16 -5.15e-01
TFPI2 5.50e-01
MCTP2 -2.27
SLF1 -6.01e-01
ANKRD6 -4.71e-01
PHLDB2 -5.62e-01
KIF7 1.28
COL12A1 5.92e-01
CHRNE 2.30
GINM1 5.85e-01
MNX1-AS1 -1.88
HEXA 7.02e-01
CLTC -5.11e-01
RPL14 -4.49e-01
ALOX5 1.71
GTF2F1 -6.71e-01
RIF1 1.52
LYPD8 -1.51
NOS1 -1.26
KBTBD2 -4.48e-01
MEPE 8.31e-01
CEL 8.57e-01
ADAMTS6 4.58e-01
SDHD -5.66e-01
DAZAP1 -4.05e-01
RBM27 -5.09e-01
ARID4A -5.36e-01
LRFN4 7.83e-01
IQGAP1 4.99e-01
EIF4EBP1 4.39e-01
MIS12 -3.97e-01
PDLIM7 6.47e-01
PDE6H -1.33
DLEC1 1.33
SLC6A7 1.33
PPP1R12C 1.33
LOC101927038 1.33
CFL1 -4.42e-01
NOV 1.26
EIF2AK2 -5.10e-01
INTU 5.22e-01
DOCK6 7.66e-01
ORMDL1 -4.57e-01
SLC7A6 4.66e-01
SLFN5 -4.83e-01
LOC100507258///CA13 -8.08e-01
VGLL3 7.87e-01
LL0XNC01-116E7.2 1.17
FMNL2 4.26e-01
TDP2 -4.17e-01
PCNP 6.27e-01
ALDOA -5.51e-01
SBNO2 4.62e-01
UBC -3.99e-01
IFI27L1 4.89e-01
ZYG11B -3.82e-01
CHRM3 -1.37
PRKAR1A -6.03e-01
FRMD6-AS1 5.45e-01
TEX9 -5.93e-01
NDUFA13 -5.58e-01
TNPO1 3.56e-01
SLC2A4 1.53
SPAG8 1.53
C1QBP -4.84e-01
TM2D1 -3.66e-01
MIEF1 -4.19e-01
MAVS -5.71e-01
AP2M1 -5.04e-01
C2CD4A -1.05
TSC22D1-AS1 6.87e-01
CDH11 3.70e-01
RAD23B 6.49e-01
KSR1 3.77e-01
MFI2-AS1 3.09
TRIM13 -6.30e-01
PITPNM2 1.82
TRAF1 1.08
EPAS1 -5.63e-01
MAPKAPK3 5.06e-01
EEF1D -4.24e-01
RPS6 -4.47e-01
C14orf132 -4.12e-01
HAGH 5.25e-01
S100A2 4.84e-01
SAMM50 -4.79e-01
FLT1 -7.08e-01
FBLN5 5.42e-01
USP53 6.11e-01
KIAA1549 6.38e-01
LOC100506272 -6.52e-01
NUDT4P1///NUDT4P2///NUDT4 -4.07e-01
PLAU 5.57e-01
EPB41 -5.18e-01
C17orf58 3.77e-01
LOC338963 2.22
UBE3C 8.05e-01
MIR7113///MIR4691///NDUFS8 4.01e-01
PRPF38B 5.25e-01
SUPT6H -7.30e-01
WWC2///CLDN22 5.36e-01
CHD4 -4.71e-01
HADH -4.24e-01
APOOL -4.43e-01
HHLA3 -4.39e-01
SUDS3 -4.84e-01
RBM23 -3.97e-01
NFE2L3 5.75e-01
TIAM2 7.02e-01
SCN8A 5.98e-01
TMPO -5.17e-01
GNB2 -4.67e-01
POLR2E -4.50e-01
GPR87 7.72e-01
LOC101929500///CRIM1 4.56e-01
VEPH1 7.61e-01
IFT57 -3.77e-01
GABARAPL1 -4.19e-01
USP9X -9.60e-01
LRRC58 -4.64e-01
ANAPC16 -3.97e-01
HSPA4 -3.66e-01
MFSD10 4.36e-01
CDH10 -5.03e-01
ZNF593 -4.43e-01
TYK2 5.03e-01
RPL7 -4.06e-01
DLG1 -6.84e-01
LIMK2 5.28e-01
NDRG2 -1.02
ABLIM3 9.24e-01
LMF2 8.10e-01
PDLIM4 1.44
SMARCA5 -4.29e-01
GAL3ST1 1.86
RECQL4 6.32e-01
GAS2L3 4.11e-01
IVD -3.94e-01
PAQR4 4.15e-01
IL1A 6.73e-01
IRF4 -1.81
ZFYVE1 -4.33e-01
ZNF174 -5.42e-01
ZNF260 -4.68e-01
RSRC1 -4.33e-01
RCL1 1.09
GNPNAT1 -3.99e-01
PTPN11 -3.83e-01
TRMT5 -3.71e-01
EDIL3 4.06e-01
RAB11A -9.83e-01
RHOT1 4.83e-01
NUP210 5.21e-01
CDR2L 8.14e-01
CXCR5 1.72
CACNA1G 1.72
IFI27L2 -5.32e-01
ATP11C 7.35e-01
FAM214B 5.58e-01
REEP5 4.21e-01
IL1RAP 5.18e-01
DKFZP434L187 5.95e-01
TFAP2A -8.49e-01
DYX1C1 -4.32e-01
BCAN 7.54e-01
CDH24 4.54e-01
